ssyk2012_4,year,daioe_allapps,daioe_stratgames,daioe_videogames,daioe_imgrec,daioe_imgcompr,daioe_imggen,daioe_readcompr,daioe_lngmod,daioe_translat,daioe_speechrec,daioe_genai,pctl_rank_allapps,pctl_rank_stratgames,pctl_rank_videogames,pctl_rank_imgrec,pctl_rank_imgcompr,pctl_rank_imggen,pctl_rank_readcompr,pctl_rank_lngmod,pctl_rank_translat,pctl_rank_speechrec,pctl_rank_genai,ssyk2012_1,ssyk2012_2,ssyk2012_3
1112 Senior government officials,2016,12.93185043334961,0.2526378631591797,2.4689111709594727,0.17298437654972076,0.046119123697280884,0.3450623154640198,0.1400517374277115,0.03761938586831093,0.00892302393913269,0.2457321286201477,0.5536486506462097,32.029998779296875,42.20000076293945,7.210000038146973,42.90999984741211,54.02000045776367,62.77000045776367,59.93000030517578,57.33000183105469,56.619998931884766,55.439998626708984,61.81999969482422,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1112 Senior government officials,2017,13.45542049407959,0.2543182075023651,2.4848783016204834,0.1926310658454895,0.0636301338672638,0.34511125087738037,0.14387905597686768,0.040268320590257645,0.012885349802672863,0.2558627426624298,0.5570663213729858,33.91999816894531,42.20000076293945,7.210000038146973,42.90999984741211,54.02000045776367,62.77000045776367,59.93000030517578,57.33000183105469,56.619998931884766,55.439998626708984,61.81999969482422,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1112 Senior government officials,2018,15.789456367492676,0.254459023475647,2.8467893600463867,0.20404309034347534,0.06366284936666489,0.40807127952575684,0.15123581886291504,0.09560038894414902,0.017840323969721794,0.28146451711654663,0.7933651804924011,34.869998931884766,42.20000076293945,7.210000038146973,42.90999984741211,54.02000045776367,62.77000045776367,59.93000030517578,57.33000183105469,56.619998931884766,55.439998626708984,62.77000045776367,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1112 Senior government officials,2019,20.62639617919922,0.25453290343284607,3.5802173614501953,0.2680990695953369,0.06870021671056747,0.4551481008529663,0.20367708802223206,0.13702687621116638,0.03451045602560043,0.3354838788509369,0.9701619148254395,36.7599983215332,42.20000076293945,7.210000038146973,42.90999984741211,54.02000045776367,62.77000045776367,59.93000030517578,57.33000183105469,56.619998931884766,55.439998626708984,62.529998779296875,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1112 Senior government officials,2020,23.128395080566406,0.25456857681274414,3.602717876434326,0.3276573419570923,0.08161114156246185,0.5468970537185669,0.2064538300037384,0.3369848132133484,0.03813938796520233,0.37771251797676086,1.5326733589172363,41.02000045776367,42.20000076293945,7.210000038146973,42.90999984741211,54.02000045776367,62.77000045776367,59.93000030517578,57.33000183105469,56.619998931884766,55.439998626708984,62.290000915527344,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1112 Senior government officials,2021,25.411869049072266,0.25465017557144165,3.6061487197875977,0.3874107599258423,0.1444564014673233,0.7037312984466553,0.21806472539901733,0.40450209379196167,0.03974982351064682,0.398706316947937,1.9627625942230225,44.79999923706055,42.20000076293945,7.210000038146973,42.90999984741211,54.02000045776367,62.77000045776367,59.93000030517578,57.33000183105469,56.619998931884766,55.439998626708984,62.290000915527344,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1112 Senior government officials,2022,27.855939865112305,0.2546502649784088,3.6166884899139404,0.4003004729747772,0.16473574936389923,0.7358120679855347,0.25859248638153076,0.7927722334861755,0.04052985832095146,0.42873919010162354,2.606252431869507,46.45000076293945,42.20000076293945,7.210000038146973,42.90999984741211,54.02000045776367,62.77000045776367,59.93000030517578,57.33000183105469,56.619998931884766,55.439998626708984,62.529998779296875,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1112 Senior government officials,2023,31.355037689208984,0.2546503245830536,3.619454860687256,0.4028644263744354,0.22453489899635315,0.7390576601028442,0.42318543791770935,1.0278390645980835,0.04098368436098099,0.7356767058372498,2.8997888565063477,47.869998931884766,42.20000076293945,7.210000038146973,42.90999984741211,54.02000045776367,62.77000045776367,59.93000030517578,57.33000183105469,56.619998931884766,55.439998626708984,62.529998779296875,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1113 Senior officials of special-interest organisations,2010,0.26077699661254883,0.08137494325637817,,0.025698626413941383,,,,,,0.004244049079716206,,59.689998626708984,58.040000915527344,,58.5099983215332,,,,,,66.55000305175781,,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1113 Senior officials of special-interest organisations,2011,0.4362791180610657,0.1619371473789215,,0.030597873032093048,,,,,,0.008488098159432411,,59.220001220703125,58.040000915527344,,58.5099983215332,,,,,,66.55000305175781,,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1113 Senior officials of special-interest organisations,2012,0.6607182025909424,0.17504490911960602,,0.07866838574409485,,,,0.0005677716108039021,,0.022004395723342896,0.0005677716108039021,59.689998626708984,58.040000915527344,,58.5099983215332,,,,68.44000244140625,,66.55000305175781,68.44000244140625,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1113 Senior officials of special-interest organisations,2013,2.8794796466827393,0.18815267086029053,1.0943986177444458,0.11155803501605988,,,,0.0015868349000811577,,0.03552069142460823,0.0015868349000811577,20.690000534057617,58.040000915527344,11.699999809265137,58.5099983215332,,,,68.44000244140625,,66.55000305175781,68.44000244140625,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1113 Senior officials of special-interest organisations,2014,4.7677154541015625,0.20126043260097504,1.7457520961761475,0.14586468040943146,,,0.003468611743301153,0.013752940110862255,,0.0453169047832489,0.013752940110862255,21.389999389648438,58.040000915527344,11.699999809265137,58.5099983215332,,,68.91000366210938,68.44000244140625,,66.55000305175781,68.44000244140625,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1113 Senior officials of special-interest organisations,2015,8.559905052185059,0.21554304659366608,2.3971056938171387,0.18448708951473236,,0.02842627465724945,0.005828626919537783,0.024903634563088417,0.003553112968802452,0.24172651767730713,0.08891700953245163,31.799999237060547,58.040000915527344,11.699999809265137,58.5099983215332,,72.93000030517578,68.91000366210938,68.44000244140625,70.33000183105469,66.55000305175781,70.56999969482422,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1113 Senior officials of special-interest organisations,2016,13.85052490234375,0.26759564876556396,2.582106351852417,0.1885543018579483,0.050760846585035324,0.36817240715026855,0.15263104438781738,0.04139447957277298,0.0100674107670784,0.2737681269645691,0.5947707891464233,52.130001068115234,58.040000915527344,11.699999809265137,58.5099983215332,65.37000274658203,72.93000030517578,68.91000366210938,68.44000244140625,70.33000183105469,66.55000305175781,72.22000122070312,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1113 Senior officials of special-interest organisations,2017,14.420743942260742,0.2693754732608795,2.5988056659698486,0.20996934175491333,0.07003427296876907,0.3682246208190918,0.15680211782455444,0.044309236109256744,0.014537909999489784,0.2850545644760132,0.5985175371170044,54.2599983215332,58.040000915527344,11.699999809265137,58.5099983215332,65.37000274658203,72.93000030517578,68.91000366210938,68.44000244140625,70.33000183105469,66.55000305175781,72.22000122070312,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1113 Senior officials of special-interest organisations,2018,16.92613410949707,0.26952463388442993,2.977309465408325,0.22240853309631348,0.070070281624794,0.4354013502597809,0.1648196578025818,0.1051938533782959,0.020128365606069565,0.3135772943496704,0.8544124364852905,54.4900016784668,58.040000915527344,11.699999809265137,58.5099983215332,65.37000274658203,72.93000030517578,68.91000366210938,68.44000244140625,70.33000183105469,66.55000305175781,71.75,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1113 Senior officials of special-interest organisations,2019,22.128150939941406,0.26960289478302,3.744363784790039,0.2922300398349762,0.07561464607715607,0.4856310486793518,0.22197115421295166,0.15077747404575348,0.03893645480275154,0.37375980615615845,1.0458717346191406,54.72999954223633,58.040000915527344,11.699999809265137,58.5099983215332,65.37000274658203,72.93000030517578,68.91000366210938,68.44000244140625,70.33000183105469,66.55000305175781,71.51000213623047,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1113 Senior officials of special-interest organisations,2020,24.853038787841797,0.2696406841278076,3.7678961753845215,0.35714903473854065,0.08982500433921814,0.5835248231887817,0.22499729692935944,0.3708011209964752,0.04303080216050148,0.4208064079284668,1.65714430809021,56.619998931884766,58.040000915527344,11.699999809265137,58.5099983215332,65.37000274658203,72.93000030517578,68.91000366210938,68.44000244140625,70.33000183105469,66.55000305175781,70.80000305175781,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1113 Senior officials of special-interest organisations,2021,27.3388729095459,0.26972711086273193,3.771484375,0.4222806990146637,0.15899541974067688,0.7508628368377686,0.23765107989311218,0.4450937509536743,0.04484777897596359,0.444195419549942,2.121645212173462,57.79999923706055,58.040000915527344,11.699999809265137,58.5099983215332,65.37000274658203,72.93000030517578,68.91000366210938,68.44000244140625,70.33000183105469,66.55000305175781,70.80000305175781,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1113 Senior officials of special-interest organisations,2022,30.009090423583984,0.2697272002696991,3.7825071811676025,0.4363305866718292,0.1813158094882965,0.7850921750068665,0.2818189859390259,0.872326672077179,0.04572785273194313,0.4776547849178314,2.8248279094696045,58.75,58.040000915527344,11.699999809265137,58.5099983215332,65.37000274658203,72.93000030517578,68.91000366210938,68.44000244140625,70.33000183105469,66.55000305175781,70.56999969482422,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1113 Senior officials of special-interest organisations,2023,33.85647964477539,0.26972725987434387,3.785400390625,0.43912532925605774,0.2471335232257843,0.7885551452636719,0.46119552850723267,1.1309823989868164,0.046239882707595825,0.8196113705635071,3.1467692852020264,59.93000030517578,58.040000915527344,11.699999809265137,58.5099983215332,65.37000274658203,72.93000030517578,68.91000366210938,68.44000244140625,70.33000183105469,66.55000305175781,70.56999969482422,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1120 Directors and chief executives,2010,0.24799033999443054,0.07847748696804047,,0.023759033530950546,,,,,,0.004058923572301865,,51.88999938964844,50.0,,44.33000183105469,,,,,,58.97999954223633,,1 Managers,"11 Legislators, chief executives and senior government officials ",112 Managing directors and chief executives
1120 Directors and chief executives,2011,0.41588181257247925,0.15617117285728455,,0.02828851155936718,,,,,,0.00811784714460373,,51.88999938964844,50.0,,44.33000183105469,,,,,,58.97999954223633,,1 Managers,"11 Legislators, chief executives and senior government officials ",112 Managing directors and chief executives
1120 Directors and chief executives,2012,0.627656102180481,0.16881221532821655,,0.07273092120885849,,,,0.0005407400894910097,,0.021044563502073288,0.0005407400894910097,52.36000061035156,50.0,,44.33000183105469,,,,63.95000076293945,,58.97999954223633,63.95000076293945,1 Managers,"11 Legislators, chief executives and senior government officials ",112 Managing directors and chief executives
1120 Directors and chief executives,2013,2.765681266784668,0.18145325779914856,1.062631368637085,0.10313823819160461,,,,0.00151128601282835,,0.03397127985954285,0.00151128601282835,14.779999732971191,50.0,8.15999984741211,44.33000183105469,,,,63.95000076293945,,58.97999954223633,63.95000076293945,1 Managers,"11 Legislators, chief executives and senior government officials ",112 Managing directors and chief executives
1120 Directors and chief executives,2014,4.581221580505371,0.19409430027008057,1.6950780153274536,0.13485561311244965,,,0.003320074873045087,0.013098164461553097,,0.043340180069208145,0.013098164461553097,18.09000015258789,50.0,8.15999984741211,44.33000183105469,,,65.5999984741211,63.95000076293945,,58.97999954223633,63.95000076293945,1 Managers,"11 Legislators, chief executives and senior government officials ",112 Managing directors and chief executives
1120 Directors and chief executives,2015,8.219246864318848,0.20786836743354797,2.3275246620178223,0.1705629974603653,,0.026984477415680885,0.005579026415944099,0.023717977106571198,0.0033714454621076584,0.23118239641189575,0.08455856144428253,19.030000686645508,50.0,8.15999984741211,44.33000183105469,,64.66000366210938,65.5999984741211,63.95000076293945,62.77000045776367,58.97999954223633,65.5999984741211,1 Managers,"11 Legislators, chief executives and senior government officials ",112 Managing directors and chief executives
1120 Directors and chief executives,2016,13.27319049835205,0.2580675482749939,2.507155418395996,0.17432324588298798,0.04742448776960373,0.3494985103607178,0.1460948884487152,0.03942369297146797,0.009552674368023872,0.26182636618614197,0.565117597579956,40.06999969482422,50.0,8.15999984741211,44.33000183105469,56.380001068115234,64.66000366210938,65.5999984741211,63.95000076293945,62.77000045776367,58.97999954223633,64.41999816894531,1 Managers,"11 Legislators, chief executives and senior government officials ",112 Managing directors and chief executives
1120 Directors and chief executives,2017,13.814078330993652,0.2597840130329132,2.523369789123535,0.19412198662757874,0.0654311329126358,0.3495480716228485,0.1500873565673828,0.04219967871904373,0.01379460096359253,0.2726204991340637,0.568684995174408,41.02000045776367,50.0,8.15999984741211,44.33000183105469,56.380001068115234,64.66000366210938,65.5999984741211,63.95000076293945,62.77000045776367,58.97999954223633,64.41999816894531,1 Managers,"11 Legislators, chief executives and senior government officials ",112 Managing directors and chief executives
1120 Directors and chief executives,2018,16.215377807617188,0.2599278688430786,2.8908867835998535,0.2056223452091217,0.06546477228403091,0.4133175313472748,0.1577615588903427,0.10018559545278549,0.019099220633506775,0.29989904165267944,0.8120559453964233,42.20000076293945,50.0,8.15999984741211,44.33000183105469,56.380001068115234,64.66000366210938,65.5999984741211,63.95000076293945,62.77000045776367,58.97999954223633,64.88999938964844,1 Managers,"11 Legislators, chief executives and senior government officials ",112 Managing directors and chief executives
1120 Directors and chief executives,2019,21.192928314208984,0.26000335812568665,3.6356756687164307,0.270174115896225,0.07064472138881683,0.4609995484352112,0.21246564388275146,0.1435989886522293,0.03694567084312439,0.35745638608932495,0.9941449761390686,42.90999984741211,50.0,8.15999984741211,44.33000183105469,56.380001068115234,64.66000366210938,65.5999984741211,63.95000076293945,62.77000045776367,58.97999954223633,65.12999725341797,1 Managers,"11 Legislators, chief executives and senior government officials ",112 Managing directors and chief executives
1120 Directors and chief executives,2020,23.778627395629883,0.2600397765636444,3.658524990081787,0.33019334077835083,0.08392107486724854,0.5539280772209167,0.21536220610141754,0.35314732789993286,0.04083067923784256,0.4024507999420166,1.575708031654358,47.869998931884766,50.0,8.15999984741211,44.33000183105469,56.380001068115234,64.66000366210938,65.5999984741211,63.95000076293945,62.77000045776367,58.97999954223633,65.37000274658203,1 Managers,"11 Legislators, chief executives and senior government officials ",112 Managing directors and chief executives
1120 Directors and chief executives,2021,26.129621505737305,0.2601231336593628,3.6620090007781982,0.3904092311859131,0.14854513108730316,0.712778627872467,0.22747409343719482,0.4239029288291931,0.04255475476384163,0.42481961846351624,2.017343759536743,49.04999923706055,50.0,8.15999984741211,44.33000183105469,56.380001068115234,64.66000366210938,65.5999984741211,63.95000076293945,62.77000045776367,58.97999954223633,65.37000274658203,1 Managers,"11 Legislators, chief executives and senior government officials ",112 Managing directors and chief executives
1120 Directors and chief executives,2022,28.668569564819336,0.26012322306632996,3.6727120876312256,0.403398722410202,0.1693984568119049,0.7452718615531921,0.26975059509277344,0.8307952880859375,0.043389830738306046,0.45681947469711304,2.686691999435425,50.95000076293945,50.0,8.15999984741211,44.33000183105469,56.380001068115234,64.66000366210938,65.5999984741211,63.95000076293945,62.77000045776367,58.97999954223633,65.5999984741211,1 Managers,"11 Legislators, chief executives and senior government officials ",112 Managing directors and chief executives
1120 Directors and chief executives,2023,32.33116149902344,0.2601233124732971,3.6755211353302,0.40598252415657043,0.2308901697397232,0.7485591769218445,0.4414456784725189,1.077136516571045,0.04387568309903145,0.78385990858078,2.9932334423065186,51.88999938964844,50.0,8.15999984741211,44.33000183105469,56.380001068115234,64.66000366210938,65.5999984741211,63.95000076293945,62.77000045776367,58.97999954223633,64.88999938964844,1 Managers,"11 Legislators, chief executives and senior government officials ",112 Managing directors and chief executives
"1211 Finance managers, level 1",2010,0.3128972053527832,0.10068966448307037,,0.0299207903444767,,,,,,0.004776971414685249,,87.83000183105469,89.23999786376953,,81.91000366210938,,,,,,82.38999938964844,,1 Managers,12 Administrative and commercial managers,121 Finance managers
"1211 Finance managers, level 1",2011,0.5248050689697266,0.20037366449832916,,0.03562495857477188,,,,,,0.009553942829370499,,88.05999755859375,89.23999786376953,,81.91000366210938,,,,,,82.62000274658203,,1 Managers,12 Administrative and commercial managers,121 Finance managers
"1211 Finance managers, level 1",2012,0.788327693939209,0.21659260988235474,,0.09159322828054428,,,,0.0006817318499088287,,0.024767469614744186,0.0006817318499088287,88.05999755859375,89.23999786376953,,81.68000030517578,,,,88.7699966430664,,82.62000274658203,88.7699966430664,1 Managers,12 Administrative and commercial managers,121 Finance managers
